2025-04-09 17:11:51, 26°C, 17°C, 50%, 503 W/m2, 0.0337%, 4.31%
2025-04-09 17:11:56, 28°C, 11°C, 53%, 712 W/m2, 0.0613%, 4.46%
2025-04-09 17:12:02, 26°C, 1°C, 50%, 525 W/m2, 0.0993%, 4.71%
2025-04-09 17:12:07, 20°C, 15°C, 60%, 539 W/m2, 0.0552%, 6.79%
2025-04-09 17:12:13, 24°C, 14°C, 58%, 564 W/m2, 0.0634%, 6.66%
2025-04-09 17:12:19, 27°C, 5°C, 56%, 598 W/m2, 0.0334%, 4.81%
2025-04-09 17:12:24, 24°C, 6°C, 51%, 647 W/m2, 0.0409%, 4.03%
2025-04-09 17:12:30, 20°C, 0°C, 59%, 602 W/m2, 0.059%, 6.64%
2025-04-09 17:12:35, 19°C, 4°C, 59%, 653 W/m2, 0.0804%, 4.98%
2025-04-09 17:12:41, 19°C, 14°C, 53%, 507 W/m2, 0.074%, 4.75%
2025-04-09 17:12:47, 27°C, 14°C, 57%, 677 W/m2, 0.0956%, 4.71%
2025-04-09 17:12:52, 27°C, 18°C, 56%, 662 W/m2, 0.0748%, 4.94%
2025-04-09 17:12:57, 26°C, 2°C, 53%, 591 W/m2, 0.0896%, 4.95%
2025-04-09 17:13:03, 24°C, 16°C, 50%, 501 W/m2, 0.0843%, 5.8%
2025-04-09 17:13:09, 25°C, 5°C, 56%, 709 W/m2, 0.0335%, 4.27%
2025-04-09 17:13:14, 21°C, 3°C, 50%, 584 W/m2, 0.0959%, 5.56%
2025-04-09 17:13:20, 26°C, 3°C, 58%, 581 W/m2, 0.0229%, 6.94%
2025-04-09 17:13:25, 20°C, 19°C, 50%, 617 W/m2, 0.0322%, 4.69%
2025-04-09 17:13:30, 28°C, 19°C, 55%, 531 W/m2, 0.0902%, 5.9%
2025-04-09 17:13:36, 22°C, 16°C, 57%, 680 W/m2, 0.0215%, 6.37%
2025-04-09 17:13:41, 27°C, 6°C, 56%, 639 W/m2, 0.0795%, 4.41%
2025-04-09 17:13:47, 29°C, 10°C, 59%, 705 W/m2, 0.0949%, 4.48%
2025-04-09 17:13:52, 29°C, 2°C, 60%, 661 W/m2, 0.0732%, 6.08%
2025-04-09 17:13:58, 24°C, 7°C, 59%, 511 W/m2, 0.0994%, 6.76%
2025-04-09 17:14:03, 30°C, 5°C, 53%, 673 W/m2, 0.0468%, 4.72%
