2025-03-31 21:23:32, 18°C, 17°C, 53%, 639 W/m2, 0.0268%, 4.12%
2025-04-07 14:16:19, 23°C, 4°C, 56%, 554 W/m2, 0.0292%, 5.34%
2025-04-07 14:16:24, 19°C, 11°C, 54%, 608 W/m2, 0.095%, 6.18%
2025-04-07 14:16:29, 22°C, 5°C, 54%, 570 W/m2, 0.0326%, 6.74%
2025-04-07 14:16:34, 26°C, 20°C, 56%, 557 W/m2, 0.05%, 5.76%
2025-04-07 14:16:39, 24°C, 19°C, 55%, 572 W/m2, 0.0624%, 5.48%
2025-04-07 14:16:44, 24°C, 4°C, 55%, 545 W/m2, 0.0805%, 5.58%
2025-04-07 14:16:49, 25°C, 3°C, 52%, 518 W/m2, 0.0846%, 4.09%
2025-04-07 14:16:54, 22°C, 5°C, 52%, 686 W/m2, 0.0555%, 6.01%
2025-04-07 14:16:59, 18°C, 21°C, 60%, 648 W/m2, 0.0361%, 6.99%
2025-04-07 14:17:04, 25°C, 5°C, 51%, 577 W/m2, 0.0828%, 4.9%
2025-04-07 14:17:09, 26°C, 15°C, 59%, 696 W/m2, 0.0591%, 6.01%
2025-04-07 14:17:14, 28°C, 15°C, 52%, 649 W/m2, 0.1%, 6.49%
2025-04-07 14:17:19, 28°C, 13°C, 56%, 689 W/m2, 0.0926%, 6.54%
2025-04-07 14:17:24, 19°C, 7°C, 53%, 595 W/m2, 0.0764%, 4.53%
2025-04-07 14:17:29, 19°C, 7°C, 52%, 686 W/m2, 0.0303%, 5.83%
2025-04-07 14:17:34, 28°C, 4°C, 50%, 510 W/m2, 0.0943%, 5.5%
2025-04-07 14:17:39, 21°C, 2°C, 55%, 602 W/m2, 0.0816%, 6.78%
2025-04-07 14:17:44, 21°C, 13°C, 52%, 532 W/m2, 0.0761%, 5.62%
2025-04-07 14:17:49, 25°C, 2°C, 50%, 634 W/m2, 0.08%, 5.25%
2025-04-07 14:17:54, 25°C, 14°C, 54%, 562 W/m2, 0.0426%, 6.05%
